Protein.ID	Gene.name	Group	Experiments where FN	Experiments where TP
Q6UN15-3;Q6UN15-5;Q6UN15;Q6UN15-4	FIP1L1	no group	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_18; NCBP2-LAP, multi-well_NCBP2_12	NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_18
Q71DI3;Q16695;P84243;P68431;Q6NXT2	HIST2H3A;HIST3H3;H3F3A;HIST1H3A;H3F3C	no group	NCBP1-LAP, multi-well_NCBP1_12	NCBP1-LAP, multi-well_NCBP1_10
Q7L2E3-3;Q7L2E3;Q7L2E3-2	DHX30	no group	NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_20
Q8IWX8	CHERP	no group	NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12
Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6;Q8IWZ3-5	ANKHD1	no group	NCBP2-LAP, multi-well_NCBP2_10	NCBP1-LAP, multi-well_NCBP1_10
Q8IX12-2;Q8IX12	CCAR1	no group	NCBP1-LAP, multi-well_NCBP1_18	NCBP3-LAP, test tubes_NCBP3_18; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18
Q92804-2;Q92804	TAF15	no group	NCBP3-LAP, test tubes_NCBP3_18; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20
Q92900-2;Q92900	UPF1	no group	NCBP2-LAP, multi-well_NCBP2_18	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_18; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_10; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_20
Q96HS1;Q96HS1-2	PGAM5	no group	NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12
Q96KR1	ZFR	no group	NCBP3-LAP, test tubes_NCBP3_10; NCBP3-LAP, test tubes_NCBP3_18	NCBP3-LAP, test tubes_NCBP3_12; NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_7
Q96PK6;Q96PK6-2;Q96PK6-3;Q96PK6-4	RBM14	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_14	NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_18
Q99729-3;Q99729-2;Q99729-4;Q99729	HNRNPAB	no group	NCBP3-LAP, test tubes_NCBP3_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_20; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18
Q9BUJ2-2;Q9BUJ2;Q9BUJ2-4;Q9BUJ2-3;Q9BUJ2-5	HNRNPUL1	no group	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_10; NCBP2-LAP, multi-well_NCBP2_20	NCBP1-LAP, multi-well_NCBP1_12; NCBP1-LAP, multi-well_NCBP1_18; NCBP1-LAP, multi-well_NCBP1_7; NCBP2-LAP, multi-well_NCBP2_12; NCBP2-LAP, multi-well_NCBP2_18
Q9H0A0;Q9H0A0-2	NAT10	no group	NCBP2-LAP, multi-well_NCBP2_12	NCBP3-LAP, test tubes_NCBP3_10; NCBP2-LAP, multi-well_NCBP2_20
Q9NR30;Q9NR30-2	DDX21	no group	NCBP1-LAP, multi-well_NCBP1_20; NCBP2-LAP, multi-well_NCBP2_12	NCBP3-LAP, test tubes_NCBP3_7; NCBP1-LAP, multi-well_NCBP1_12; NCBP2-LAP, multi-well_NCBP2_20
Q9NWB6;Q9NWB6-2;Q9NWB6-3	ARGLU1	no group	NCBP1-LAP, multi-well_NCBP1_14	NCBP3-LAP, test tubes_NCBP3_7; NCBP2-LAP, multi-well_NCBP2_12
