Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
tkQE171103_JL601_Control_3_18_02	tk_NCBP3_C_3_18_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		17644	10867	0	12182	9552	0	2630	1808	1775	0	33	14.84	18.58	NaN	1.25	1482	1339990	10240	0.76	314	3.07	118732	9125	8662	7.69	14.97	381	4.18	+	1.0405	1.2981	0.61991	0.7897	
tkQE171103_JL601_Control_3_7_02	tk_NCBP3_C_3_7_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		19760	4558	0	5195	3921	0	1274	454	447	0	7	8.74	11.4	NaN	0.55	336	1222922	4236	0.35	169	3.99	106101	3708	3529	3.49	9.7	195	5.26	+	1.1403	1.3897	0.68216	0.84062	
tkQE171103_JL601_NCBP3_1_10_02	tk_NCBP3_1_10_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		17491	13860	0	15324	12396	0	2928	3541	3438	0	103	23.11	27.73	NaN	3.52	3065	1106052	13305	1.2	345	2.59	122275	11905	11545	9.74	16.53	454	3.81	+	0.90516	1.184	0.55851	0.74833	
tkQE171103_JL601_NCBP3_1_12	tk_NCBP3_1_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		16408	16146	0	17879	14413	0	3466	3799	3730	0	69	21.25	25.88	NaN	1.99	3127	1116420	14878	1.33	800	5.38	94603	13189	12589	13.94	24.17	1015	7.7	+	0.8303	1.0856	0.49584	0.66341	
tkQE171103_JL601_NCBP3_1_18	tk_NCBP3_1_18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		16321	15460	0	17450	13470	0	3980	2484	2458	0	26	14.23	18.25	NaN	0.65	2064	1147790	14321	1.25	624	4.36	97556	12548	11891	12.86	23.24	797	6.35	+	0.93484	1.2154	0.56014	0.7441	
tkQE171103_JL601_NCBP3_1_7	tk_NCBP3_1_7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		18088	9634	0	10803	8465	0	2338	1778	1755	0	23	16.46	20.73	NaN	0.98	1484	1245205	8664	0.7	562	6.49	93254	7692	7323	8.25	17.46	643	8.36	+	0.87358	1.1129	0.52784	0.68377	
tkQE171103_JL601_NCBP3_2_10	tk_NCBP3_2_10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		13662	22419	0	24337	20501	0	3836	10213	9870	0	343	41.96	48.14	NaN	8.94	8821	975014	21307	2.19	680	3.19	115028	19303	18931	16.78	23.75	1040	5.39	+	0.79045	1.1015	0.50471	0.71786	
tkQE171103_JL601_NCBP3_2_12	tk_NCBP3_2_12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		17751	9556	0	10419	8693	0	1726	2126	2078	0	48	20.41	23.9	NaN	2.78	1806	1191142	9015	0.76	344	3.82	88771	8223	7937	9.26	18.23	418	5.08	+	0.82599	1.0655	0.4767	0.62575	
tkQE171103_JL601_NCBP3_2_18	tk_NCBP3_2_18	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		16862	13545	0	15279	11811	0	3468	2651	2617	0	34	17.35	22.16	NaN	0.98	2136	1172038	12414	1.06	607	4.89	94506	10920	10382	11.55	21.21	731	6.69	+	0.8513	1.1088	0.50659	0.6697	
tkQE171103_JL601_NCBP3_2_7_02	tk_NCBP3_2_7_02	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Phospho (STY)	Carbamidomethyl (C)			False	False	1	2		Standard		18116	8282	0	9125	7439	0	1686	1504	1474	0	30	16.48	19.81	NaN	1.78	1268	1319485	7835	0.59	252	3.22	114199	7136	6787	6.25	12.57	287	4.02	+	0.98955	1.2469	0.58224	0.74534	
